Target,RMSE,R2,Mean_Prediction,Std_Prediction,Direction,Best_Trial,Training_Time
throughput,3.2819325108248703,0.45297409386282084,841.67285,10.4649935,MAXIMIZE,0,9.038110971450806
first_pass_quality,0.6942524652520773,0.9357395791209394,91.87457,1.6517011,MAXIMIZE,4,14.33630657196045
scrap,2.1488726397145217,0.9424507780434329,93.64963,18.672766,MINIMIZE,0,25.342069149017334
