Parameter,Current,Optimized,Absolute_Change,Percent_Change
cook_temp,476.378817522602,476.41368500395197,0.03486748134997697,0.007319276186817998
cook_time,24.57120574268044,24.64378366718063,0.07257792450019096,0.2953779527966849
cooker_speed,46.58366651391087,46.61417094517937,0.030504431268497,0.06548310502649621
drying_temp_1,254.30259627582467,254.32581258934073,0.023216313516059017,0.009129404833475576
drying_time_1,10.129589893026989,10.233818851872241,0.10422895884525296,1.0289553668604308
drying_speed_1,423.9494309802095,423.9621026266217,0.012671646412172777,0.0029889523339787913
flaking_rolls_gap,1.979430594907354,1.9227720713671765,-0.05665852354017753,-2.862364747010965
flaking_rolls_speed,297.06395188179334,297.282427130375,0.218475248581683,0.07354485362418457
coating_flow,1.8915740379279955,1.8665785423103465,-0.02499549561764902,-1.3214124912091068
conveyor_speed,407.75567980136606,407.79988436251097,0.044204561144908894,0.010840943078081141
drying_temp_2,249.59037190498643,249.5504987565184,-0.03987314846801837,-0.015975435335781784
drying_time_2,10.87426391145813,10.861847804027803,-0.012416107430325951,-0.11417883115052221
drying_speed_2,395.1731010364849,395.0984181734774,-0.07468286300752425,-0.018898771908219796
moisture,25.62947580785332,25.594426853828324,-0.035048954024997414,-0.13675251998036494
color,5.225131378525172,5.081606320500288,-0.1435250580248839,-2.7468219959934252
moisture_2,24.897368513804928,24.77805805641282,-0.11931045739210688,-0.47920910728357663
thickness,0.7441107367034578,0.7696334088167941,0.025522672113336253,3.4299561684066275
diameter,6.3817647262179,6.4697158381930855,0.0879511119751859,1.3781628710607357
final_moisture,18.421673876037875,18.323388357234926,-0.09828551880294967,-0.5335319660109458
sugar,39.19846297457436,39.25514874102665,0.056685766452289954,0.14461221729295493
vitamins,9.54405646766434,9.502823425998956,-0.04123304166538411,-0.4320284755762223
color_final,5.05267424710259,5.27260648374369,0.2199322366411005,4.352788758689889
cook_temp_time_interaction,11705.201936802676,11705.171483044855,-0.03045375782130577,-0.00026017285293947125
drying_temp_time_interaction_1,2575.9810090061164,2576.10766311186,0.12665410574345515,0.004916732899064413
drying_temp_time_interaction_2,2714.111573853807,2714.092910811256,-0.01866304255099749,-0.0006876298944666287
flaking_interaction,588.0174749989078,587.9508807655533,-0.06659423335452175,-0.011325213311839999
coating_interaction,771.3000577299448,771.2760687012841,-0.023989028660707845,-0.0031102070355486892
